#from http://www.cvrl.org/ based on Stockman and Sharpe (2000)
390,  -3.21863,  -3.29076,  -1.96598
391,  -3.13652,  -3.20684,  -1.88705
392,  -3.05545,  -3.12367,  -1.80825
393,  -2.97558,  -3.04148,  -1.72974
394,  -2.89711,  -2.96047,  -1.65172
395,  -2.82023,  -2.88089,  -1.57436
396,  -2.74510,  -2.80295,  -1.49783
397,  -2.67193,  -2.72686,  -1.42232
398,  -2.60089,  -2.65287,  -1.34800
399,  -2.53217,  -2.58117,  -1.27505
400,  -2.46595,  -2.51201,  -1.20366
401,  -2.40234,  -2.44551,  -1.13397
402,  -2.34112,  -2.38148,  -1.06610
403,  -2.28199,  -2.31962,  -1.00014
404,  -2.22466,  -2.25966,  -0.93617
405,  -2.16882,  -2.20131,  -0.87429
406,  -2.11430,  -2.14436,  -0.81458
407,  -2.06146,  -2.08897,  -0.75719
408,  -2.01078,  -2.03539,  -0.70223
409,  -1.96274,  -1.98384,  -0.64986
410,  -1.91782,  -1.93457,  -0.60021
411,  -1.87633,  -1.88775,  -0.55336
412,  -1.83798,  -1.84325,  -0.50921
413,  -1.80230,  -1.80089,  -0.46762
414,  -1.76883,  -1.76047,  -0.42843
415,  -1.73708,  -1.72181,  -0.39150
416,  -1.70674,  -1.68475,  -0.35674
417,  -1.67790,  -1.64931,  -0.32428
418,  -1.65082,  -1.61558,  -0.29433
419,  -1.62575,  -1.58360,  -0.26709
420,  -1.60291,  -1.55345,  -0.24275
421,  -1.58242,  -1.52513,  -0.22138
422,  -1.56383,  -1.49833,  -0.20247
423,  -1.54655,  -1.47270,  -0.18540
424,  -1.52999,  -1.44787,  -0.16953
425,  -1.51356,  -1.42347,  -0.15422
426,  -1.49681,  -1.39922,  -0.13899
427,  -1.47980,  -1.37505,  -0.12401
428,  -1.46270,  -1.35100,  -0.10960
429,  -1.44571,  -1.32708,  -0.09609
430,  -1.42902,  -1.30331,  -0.08379
431,  -1.41277,  -1.27973,  -0.07291
432,  -1.39694,  -1.25647,  -0.06320
433,  -1.38146,  -1.23366,  -0.05429
434,  -1.36626,  -1.21144,  -0.04578
435,  -1.35128,  -1.18995,  -0.03732
436,  -1.33650,  -1.16933,  -0.02868
437,  -1.32214,  -1.14970,  -0.02028
438,  -1.30846,  -1.13119,  -0.01268
439,  -1.29574,  -1.11391,  -0.00645
440,  -1.28423,  -1.09798,  -0.00216
441,  -1.27411,  -1.08346,  -0.00020
442,  -1.26512,  -1.07012,  -0.00022
443,  -1.25691,  -1.05766,  -0.00169
444,  -1.24911,  -1.04578,  -0.00408
445,  -1.24136,  -1.03418,  -0.00685
446,  -1.23339,  -1.02265,  -0.00965
447,  -1.22525,  -1.01126,  -0.01272
448,  -1.21706,  -1.00015,  -0.01649
449,  -1.20895,  -0.98948,  -0.02138
450,  -1.20104,  -0.97939,  -0.02782
451,  -1.19340,  -0.96994,  -0.03607
452,  -1.18581,  -0.96085,  -0.04576
453,  -1.17799,  -0.95173,  -0.05636
454,  -1.16968,  -0.94220,  -0.06735
455,  -1.16057,  -0.93189,  -0.07819
456,  -1.15043,  -0.92047,  -0.08843
457,  -1.13914,  -0.90788,  -0.09796
458,  -1.12659,  -0.89415,  -0.10671
459,  -1.11269,  -0.87926,  -0.11466
460,  -1.09736,  -0.86324,  -0.12174
461,  -1.08057,  -0.84614,  -0.12801
462,  -1.06266,  -0.82826,  -0.13387
463,  -1.04403,  -0.80994,  -0.13983
464,  -1.02509,  -0.79155,  -0.14638
465,  -1.00625,  -0.77342,  -0.15403
466,  -0.98786,  -0.75586,  -0.16321
467,  -0.97000,  -0.73897,  -0.17401
468,  -0.95272,  -0.72280,  -0.18646
469,  -0.93604,  -0.70740,  -0.20059
470,  -0.91999,  -0.69281,  -0.21642
471,  -0.90459,  -0.67906,  -0.23395
472,  -0.88975,  -0.66604,  -0.25306
473,  -0.87536,  -0.65362,  -0.27362
474,  -0.86130,  -0.64167,  -0.29547
475,  -0.84748,  -0.63006,  -0.31849
476,  -0.83380,  -0.61866,  -0.34252
477,  -0.82024,  -0.60745,  -0.36735
478,  -0.80680,  -0.59641,  -0.39278
479,  -0.79348,  -0.58551,  -0.41860
480,  -0.78028,  -0.57474,  -0.44460
481,  -0.76720,  -0.56409,  -0.47063
482,  -0.75426,  -0.55360,  -0.49678
483,  -0.74151,  -0.54330,  -0.52323
484,  -0.72896,  -0.53324,  -0.55014
485,  -0.71664,  -0.52346,  -0.57766
486,  -0.70454,  -0.51395,  -0.60586
487,  -0.69243,  -0.50450,  -0.63447
488,  -0.68007,  -0.49484,  -0.66310
489,  -0.66718,  -0.48470,  -0.69138
490,  -0.65351,  -0.47381,  -0.71893
491,  -0.63886,  -0.46198,  -0.74546
492,  -0.62333,  -0.44931,  -0.77105
493,  -0.60706,  -0.43594,  -0.79586
494,  -0.59023,  -0.42206,  -0.82008
495,  -0.57300,  -0.40782,  -0.84385
496,  -0.55550,  -0.39336,  -0.86738
497,  -0.53779,  -0.37871,  -0.89092
498,  -0.51991,  -0.36389,  -0.91475
499,  -0.50188,  -0.34889,  -0.93916
500,  -0.48375,  -0.33372,  -0.96443
501,  -0.46554,  -0.31841,  -0.99080
502,  -0.44731,  -0.30301,  -1.01838
503,  -0.42910,  -0.28759,  -1.04726
504,  -0.41096,  -0.27221,  -1.07751
505,  -0.39294,  -0.25695,  -1.10920
506,  -0.37509,  -0.24186,  -1.14231
507,  -0.35745,  -0.22701,  -1.17636
508,  -0.34005,  -0.21243,  -1.21077
509,  -0.32292,  -0.19817,  -1.24494
510,  -0.30611,  -0.18429,  -1.27831
511,  -0.28964,  -0.17081,  -1.31046
512,  -0.27356,  -0.15775,  -1.34171
513,  -0.25788,  -0.14509,  -1.37256
514,  -0.24263,  -0.13282,  -1.40350
515,  -0.22786,  -0.12094,  -1.43503
516,  -0.21358,  -0.10947,  -1.46755
517,  -0.19990,  -0.09850,  -1.50099
518,  -0.18689,  -0.08817,  -1.53521
519,  -0.17465,  -0.07861,  -1.57006
520,  -0.16327,  -0.06995,  -1.60537
521,  -0.15280,  -0.06226,  -1.64102
522,  -0.14314,  -0.05546,  -1.67701
523,  -0.13417,  -0.04940,  -1.71337
